-19.25,-0.8571
-19,-0.8889
-18.75,-0.9114
-18.5,-0.93
-18.25,-0.946
-18,-0.9595
-17.75,-0.9637
-17.5,-0.9686
-17.25,-0.9745
-17,-0.9811
-16.75,-0.9884
-16.5,-0.9964
-16.25,-1.0049
-16,-1.0145
-15.75,-1.0255
-15.5,-1.0386
-15.25,-1.054
-15,-1.0717
-14.75,-1.0886
-14.5,-1.0702
-14.25,-1.053
-14,-1.036
-13.75,-1.0175
-13.5,-0.9911
-13.25,-0.961
-13,-0.9338
-12.75,-0.9127
-12.5,-0.8826
-12.25,-0.8496
-12,-0.8163
-11.75,-0.7813
-11.5,-0.7614
-11.25,-0.7309
-11,-0.698
-10.75,-0.665
-10.5,-0.6448
-10.25,-0.6157
-10,-0.5872
-9.75,-0.5637
-9.5,-0.5369
-9.25,-0.5108
-9,-0.4858
-8.75,-0.4593
-8.5,-0.4333
-8.25,-0.4083
-8,-0.3815
-7.75,-0.3546
-7.5,-0.33
-7.25,-0.3024
-7,-0.2763
-6.75,-0.2504
-6.5,-0.2221
-6.25,-0.1969
-6,-0.1692
-5.75,-0.143
-5.5,-0.1159
-5.25,-0.0891
-5,-0.0622
-4.75,-0.0347
-4.5,-0.0077
-4.25,0.0195
-4,0.0467
-3.75,0.0738
-3.5,0.1007
-3.25,0.1279
-3,0.1548
-2.75,0.1819
-2.5,0.2089
-2.25,0.2358
-2,0.2627
-1.75,0.2897
-1.5,0.3162
-1.25,0.3428
-1,0.3693
-0.75,0.3957
-0.5,0.4218
-0.25,0.4474
0,0.4728
0.25,0.498
0.5,0.5239
0.75,0.549
1,0.5743
1.25,0.5991
1.5,0.6232
1.75,0.6474
2,0.6706
2.25,0.6962
2.5,0.7263
2.75,0.7625
3,0.8022
3.25,0.8456
3.5,0.8891
3.75,0.9157
4,0.9323
4.25,0.9513
4.5,0.9702
4.75,0.9886
5,1.0097
5.25,1.0304
5.5,1.0503
5.75,1.0726
6,1.0926
6.25,1.1114
6.5,1.1326
6.75,1.1519
7,1.172
7.25,1.1925
7.5,1.2105
7.75,1.2311
8,1.2483
8.25,1.2693
8.75,1.3047
9,1.3207
9.25,1.3357
9.5,1.3534
9.75,1.368
10,1.3839
10.25,1.3985
10.5,1.4103
10.75,1.4248
11,1.4365
11.25,1.4463
11.5,1.4587
11.75,1.4675
12,1.4772
12.25,1.4863
12.5,1.4928
12.75,1.5016
13,1.5058
13.25,1.5143
13.5,1.517
13.75,1.5236
14,1.5263
14.25,1.5296
14.5,1.5316
14.75,1.5302
15,1.5315
15.25,1.5289
15.5,1.5259
15.75,1.5232
16,1.5166
16.25,1.5136
16.5,1.505
16.75,1.5016
17,1.4937
17.25,1.4882
17.5,1.4828
17.75,1.4736
